Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,Japan,1/23/20 17:00,01-23-2020,0.0,0.0,-1.0,0.0
2.0,0.0,0.0,0.0,Japan,1/24/20 17:00,01-24-2020,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,Japan,1/25/20 17:00,01-25-2020,0.0,0.0,0.0,0.0
4.0,0.0,1.0,0.0,Japan,1/26/20 16:00,01-26-2020,0.0,0.0,2.0,1.0
4.0,0.0,1.0,0.0,Japan,1/27/20 23:59,01-27-2020,0.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0,Japan,1/28/20 23:00,01-28-2020,0.0,0.0,3.0,0.0
7.0,0.0,1.0,0.0,Japan,1/29/20 19:30,01-29-2020,0.0,0.0,0.0,0.0
11.0,0.0,1.0,0.0,Japan,1/30/20 16:00,01-30-2020,0.0,0.0,4.0,0.0
15.0,0.0,1.0,0.0,Japan,1/31/2020 23:59,01-31-2020,0.0,0.0,4.0,0.0
20.0,0.0,1.0,0.0,Japan,2/1/2020 18:53,02-01-2020,0.0,0.0,5.0,0.0
20.0,0.0,1.0,0.0,Japan,2020-02-01T18:53:03,02-02-2020,0.0,0.0,0.0,0.0
20.0,0.0,1.0,0.0,Japan,2020-02-01T18:53:03,02-03-2020,0.0,0.0,0.0,0.0
22.0,0.0,1.0,0.0,Japan,2020-02-04T16:43:03,02-04-2020,0.0,0.0,2.0,0.0
22.0,0.0,1.0,0.0,Japan,2020-02-04T16:43:03,02-05-2020,0.0,0.0,0.0,0.0
45.0,0.0,1.0,0.0,Japan,2020-02-06T02:53:03,02-06-2020,0.0,0.0,23.0,0.0
25.0,0.0,1.0,0.0,Japan,2020-02-07T04:13:20,02-07-2020,0.0,0.0,-20.0,0.0
25.0,0.0,1.0,0.0,Japan,2020-02-07T04:13:20,02-08-2020,0.0,0.0,0.0,0.0
26.0,0.0,1.0,0.0,Japan,2020-02-09T06:13:11,02-09-2020,0.0,0.0,1.0,0.0
26.0,0.0,4.0,0.0,Japan,2020-02-10T21:33:02,02-10-2020,0.0,0.0,0.0,3.0
26.0,0.0,9.0,0.0,Japan,2020-02-11T02:53:02,02-11-2020,0.0,0.0,0.0,5.0
28.0,0.0,9.0,0.0,Japan,2020-02-12T02:43:03,02-12-2020,0.0,0.0,2.0,0.0
28.0,1.0,9.0,0.0,Japan,2020-02-13T12:23:05,02-13-2020,1.0,0.0,0.0,0.0
29.0,1.0,9.0,0.0,Japan,2020-02-14T03:53:02,02-14-2020,0.0,0.0,1.0,0.0
43.0,1.0,12.0,0.0,Japan,2020-02-15T17:43:06,02-15-2020,0.0,0.0,14.0,3.0
59.0,1.0,12.0,0.0,Japan,2020-02-16T17:43:03,02-16-2020,0.0,0.0,16.0,0.0
66.0,1.0,12.0,0.0,Japan,2020-02-17T14:33:04,02-17-2020,0.0,0.0,7.0,0.0
74.0,1.0,13.0,0.0,Japan,2020-02-18T17:23:04,02-18-2020,0.0,0.0,8.0,1.0
84.0,1.0,18.0,0.0,Japan,2020-02-19T20:33:02,02-19-2020,0.0,0.0,10.0,5.0
94.0,1.0,18.0,0.0,Japan,2020-02-20T15:53:03,02-20-2020,0.0,0.0,10.0,0.0
